s_index,sec_number,stage_number,stage_title,q_short,q_title,first_in_sec,is_required,variable_name,text_field_type,options,options_val,condition,condition_range
1,s1,1,reviewing_img_claim_title,claim_img_review_started_q_short,claim_img_review_started_q_long,1,0,img_review_started,radio,"claim_img_review_started_q_options_yes,claim_img_review_started_q_options_no",1 -1,,
2,s2,1,reviewing_img_claim_title,claim_img_old_q_short,claim_img_old_q_long,1,0,img_old,radio,"claim_img_old_q_options_yes,claim_img_old_q_options_no,not_sure",-1 1 0,has_image==1,"s34,s37"
2,s2,1,reviewing_img_claim_title,,optional_note,,0,note_img_old,textarea,,,has_image==1,"s34,s37"
3,s3,1,reviewing_img_claim_title,claim_img_forensic_discrepency_q_short,claim_img_forensic_discrepency_q_long,1,0,img_forensic_discrepency,radio,"claim_img_forensic_discrepency_q_options_yes,claim_img_forensic_discrepency_q_options_no,not_sure",-1 1 0,has_image==1,"s34,s37"
3,s3,1,reviewing_img_claim_title,,optional_note,,0,note_img_forensic_discrepency,textarea,,,has_image==1,"s34,s37"
4,s4,1,reviewing_img_claim_title,claim_img_metadata_discrepency_q_short,claim_img_metadata_discrepency_q_long,1,0,img_metadata_discrepency,radio,"claim_img_metadata_discrepency_q_options_yes,claim_img_metadata_discrepency_q_options_no,not_sure",-1 1 0,has_image==1,"s34,s37"
4,s4,1,reviewing_img_claim_title,,optional_note,,0,note_img_metadata_discrepency,textarea,,,has_image==1,"s34,s37"
5,s5,1,reviewing_img_claim_title,claim_img_logical_discrepency_q_short,claim_img_logical_discrepency_q_long,1,0,img_logical_discrepency,radio,"claim_img_logical_discrepency_q_options_yes,claim_img_logical_discrepency_q_options_no,not_sure",-1 1 0,has_image==1,"s34,s37"
5,s5,1,reviewing_img_claim_title,,optional_note,,0,note_img_logical_discrepency,textarea,,,has_image==1,"s34,s37"
6,s6,2,reviewing_vid_claim_title,claim_vid_review_started_q_short,claim_vid_review_started_q_long,1,0,vid_review_started,radio,"claim_vid_review_started_q_options_yes,claim_vid_review_started_q_options_no",1 -1,has_video==1,"s39,s44"
7,s7,2,reviewing_vid_claim_title,claim_vid_old_q_short,claim_vid_old_q_long,1,0,vid_old,radio,"claim_vid_old_q_options_yes,claim_vid_old_q_options_no,not_sure",-1 1 0,has_video==1,"s39,s44"
7,s7,2,reviewing_vid_claim_title,,optional_note,,0,note_vid_old,textarea,,,has_video==1,"s39,s44"
8,s8,2,reviewing_vid_claim_title,claim_vid_forensic_discrepency_q_short,claim_vid_forensic_discrepency_q_long,1,0,vid_forensic_discrepency,radio,"claim_vid_forensic_discrepency_q_options_yes,claim_vid_forensic_discrepency_q_options_no,not_sure",-1 1 0,has_video==1,"s39,s44"
